FIGARO:   
Accelerometer Device Design by Integration of Arduino UNO and MEMS Circuit
by A.Komec Mutlu, U.Mert Tugsal, A.A. Dindar
   
   
   
Device ID:
F013-001.csv
Comp X,Comp Y,Comp Z
,msec|DD:HH:MM:SS:MSEC-2.98,7.34,7.34,43,0:00:00:00:43
0.63,-0.90,10.98,30278,0:00:00:30:278
0.59,-0.90,10.98,30358,0:00:00:30:358
0.59,-0.90,10.94,30438,0:00:00:30:438
0.59,-0.90,10.98,30518,0:00:00:30:518
0.59,-0.94,10.94,30598,0:00:00:30:598
0.59,-0.90,10.90,30679,0:00:00:30:679
0.55,-0.90,10.90,30761,0:00:00:30:761
0.55,-0.86,10.98,30838,0:00:00:30:838
0.59,-0.90,10.90,30918,0:00:00:30:918
0.59,-0.90,10.90,30999,0:00:00:30:999
0.59,-0.90,10.94,31079,0:00:00:31:79
0.63,-0.90,10.94,31158,0:00:00:31:158
0.59,-0.94,10.94,31238,0:00:00:31:238
0.63,-0.90,10.94,31318,0:00:00:31:318
0.59,-0.90,10.90,31398,0:00:00:31:398
0.59,-0.90,10.98,31478,0:00:00:31:478
0.59,-0.90,10.90,31558,0:00:00:31:558
0.59,-0.90,10.94,31638,0:00:00:31:638
0.59,-0.86,10.94,31718,0:00:00:31:718
0.63,-0.90,10.94,31802,0:00:00:31:802
0.55,-0.90,10.94,31879,0:00:00:31:879
0.63,-0.94,10.98,31959,0:00:00:31:959
0.59,-0.90,10.98,32038,0:00:00:32:38
0.59,-0.94,10.94,32117,0:00:00:32:117
0.63,-0.90,10.98,32198,0:00:00:32:198
0.59,-0.90,10.94,32278,0:00:00:32:278
0.59,-0.86,10.94,32358,0:00:00:32:358
0.55,-0.90,10.98,32438,0:00:00:32:438
0.63,-0.86,10.90,32518,0:00:00:32:518
0.59,-0.86,10.94,32599,0:00:00:32:599
0.59,-0.86,10.98,32678,0:00:00:32:678
0.59,-0.90,10.98,32758,0:00:00:32:758
0.63,-0.86,10.98,32841,0:00:00:32:841
0.59,-0.90,10.98,32918,0:00:00:32:918
0.63,-0.98,10.98,32999,0:00:00:32:999
0.63,-0.90,10.98,33079,0:00:00:33:79
0.59,-0.86,10.94,33158,0:00:00:33:158
0.59,-0.90,11.02,33238,0:00:00:33:238
0.59,-0.86,10.98,33317,0:00:00:33:317
0.59,-0.94,10.98,33398,0:00:00:33:398
0.55,-0.90,10.98,33478,0:00:00:33:478
0.63,-0.94,10.98,33558,0:00:00:33:558
0.59,-0.90,10.94,33638,0:00:00:33:638
0.59,-0.94,10.94,33718,0:00:00:33:718
0.59,-0.90,10.98,33799,0:00:00:33:799
0.59,-0.90,10.94,33879,0:00:00:33:879
0.59,-0.90,10.94,33956,0:00:00:33:956
0.59,-0.94,10.94,34038,0:00:00:34:38
0.59,-0.90,10.98,34118,0:00:00:34:118
0.55,-0.90,11.06,34198,0:00:00:34:198
0.55,-0.86,10.98,34278,0:00:00:34:278
0.63,-0.90,10.94,34358,0:00:00:34:358
0.59,-0.90,10.98,34438,0:00:00:34:438
0.63,-0.90,10.90,34518,0:00:00:34:518
0.59,-0.94,10.90,34598,0:00:00:34:598
0.59,-0.90,10.94,34678,0:00:00:34:678
